INSTRUCTIONS: The first 6 lines are for instruction purposes only. This application will ignore any data found within those rows. Your data will start on row 7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRITERION COLUMN: This column is the name of the WCAG violation. It is displayed as the number only (e.g. 1.1.1).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEPTION: Each column with exception is for one additional exception found against that WCAG criterion. Each cell may take a sentence. These will all be seperated out as individual items within their criterion and not as one large paragraph.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTION OF DATA: Your inputs on exceptions will start in column B. And will be input from the left side towards the right side as more exceptions are added.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
================================================================================================================================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception,Exception
1.1.1,Color,Contrast,Text,Does,Not,Meet,The,Spec,We,Require,It,To,Be,For,Example,,,Blah blah blah,,,,,,,,,,,,
1.2.1,Keyboard,Navigation,Fails,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
